"","theta","(Intercept)","log_umi"
"EIF3I",1.11055211655131,-9.56664421196857,2.58101262852432
"LCK",1.27368417902842,-9.30803848987848,2.57322965689297
"HDAC1",0.797120936794035,-9.89122299342925,2.43420456692558
"MARCKSL1",0.937043021018428,-9.7896502849057,2.47560107357766
"FAM229A",0.230189928028585,-12.5414312256707,2.14290754443097
"BSDC1",0.516465125516757,-10.4048634445403,2.33839984461982
"ZBTB8OS",0.540280166265983,-10.3331225089087,2.33300997429705
"RBBP4",0.636311884631552,-9.99783029611126,2.34940415017382
"SYNC",0.248182685417313,-11.6927940738112,2.17580024179626
"YARS",0.444965716130129,-10.6170361649767,2.276766879285
"S100PBP",0.446191838281835,-11.0557529710318,2.25175023697878
"RNF19B",0.262041219518392,-11.6511250774237,2.18475398016833
"AK2",0.605337506820879,-10.0285654491782,2.31807866393484
"ADC",0.237201218102107,-12.549029507341,2.1579848493556
"TRIM62",0.250066880072025,-12.508963921607,2.17627790166079
"ZNF362",0.243431321069781,-11.7117139674051,2.17278568107151
"PHC2",0.31342617184787,-11.4983190089717,2.20259098932825
"SMIM12",0.660785292088925,-10.0056067418701,2.37019909543016
"DLGAP3",0.253776510344264,-12.4304809561986,2.17385166909698
"RP11-244H3.4",0.414579621266846,-11.1098167832024,2.20402627731241
"ZMYM6NB",0.108196131760806,-13.0200960649104,2.02232033555741
"ZMYM6",0.248182685417313,-11.6927940738112,2.17580024179626
"ZMYM1",0.224820970152689,-12.0670005958397,2.17690569188224
"SFPQ",0.851724732951778,-9.84045255616148,2.44687929577128
"ZMYM4",0.267827718943378,-11.6355057427823,2.18802368561981
"KIAA0319L",0.47058862160002,-10.8602702110165,2.27188519135454
"NCDN",0.226183628844696,-11.8696976462039,2.16872789246404
"RP4-728D4.2",0.447583979367493,-11.0539138640079,2.25404849497408
"TFAP2E",0.090721269291354,-12.7921404110945,1.91917469956789
"PSMB2",0.988389931895001,-9.68237768816147,2.47748959447371
"C1orf216",0.288321644740492,-11.5762392558387,2.19630309553748
"CLSPN",0.200068319961555,-12.4919902867851,2.07224447718315
"AGO4",0.236991764020421,-11.746402653704,2.16932203132936
"AGO1",0.321787468070285,-11.4733956549449,2.20456706007782
"AGO3",0.420219054721827,-11.0903502698403,2.20814048474172
"ADPRHL2",0.441725766869642,-10.5701691331356,2.28038004388046
"TRAPPC3",0.812777027751013,-9.87213890684787,2.43726602230859
"MAP7D1",0.537838265884519,-10.3412432327715,2.33374168078933
"THRAP3",0.653162197920686,-10.0030900359297,2.36415863580591
"EVA1B",0.224343258730426,-11.9225135940126,2.170983777159
"STK40",0.460270754849155,-11.0161770214272,2.26867444250827
"LSM10",0.975869365031197,-9.71427532951069,2.47888634826319
"OSCP1",0.090721269291354,-12.7921404110945,1.91917469956789
"MRPS15",0.816445255626004,-9.8682395190221,2.43803398593413
"CSF3R",0.717776969252648,-10.0030592712596,2.40770885675128
"LINC01137",0.223506913503804,-11.9791550530398,2.17392053640435
"ZC3H12A",0.422204211747287,-11.0846502912945,2.21015587565398
"MEAF6",1.09619293779781,-9.48944973380275,2.49039581498913
"SNIP1",0.158147028664132,-12.743367074885,2.06256469798137
"GNL2",0.443677568708803,-10.6014743261178,2.27760817426372
"C1orf109",0.358755284880245,-11.3567763940505,2.20908540634382
"YRDC",0.456917225105099,-10.72025166495,2.27370809212221
"C1orf122",0.542997292469876,-10.3238590476727,2.33215048977062
"MTF1",0.410508970363257,-11.1262600224375,2.20232349699316
"INPP5B",0.248182685417313,-11.6927940738112,2.17580024179626
"SF3A3",0.600373083977625,-10.0520988771536,2.31508301896295
"FHL3",0.459080748460276,-10.7366351082992,2.27331494285397
"UTP11L",0.4539544788363,-10.6976576509203,2.27426733380929
