"","theta","batchA","batchB","log_umi:batchA","log_umi:batchB"
"UBXN11",0.557033911119954,-10.222078707432,-10.2442082289085,2.2730411119115,2.337756736543
"CD52",2.95418557299749,-6.69914860178897,-6.64443053504246,2.39313028905622,2.37977301565317
"AIM1L",0.166061117169247,-12.8376914911247,-12.8356493069929,2.21804407568297,2.07186889921468
"ZNF683",0.294052034115064,-11.6663874426567,-11.3084513213423,2.06637324380032,2.20247365035132
"DHDDS",0.342644173522305,-11.5393955319725,-11.3297278526665,2.19823779166605,2.19058448352789
"HMGN2",0.616523312351815,-9.96820355828775,-10.1546190210878,2.29849050186906,2.33689390120023
"RPS6KA1",0.584627086174635,-10.0344240105361,-10.2657692959091,2.27487782860692,2.33855155902487
"ARID1A",0.490812137235853,-10.3427402089713,-10.5101890849327,2.2684636110932,2.34006395680895
"PIGV",0.347168862028135,-11.4036944745423,-11.3699551151498,2.20622659651375,2.16587050207151
"ZDHHC18",0.305407592172397,-11.4108438838388,-11.5882929144866,2.20634398851131,2.13583876778806
"GPN2",0.450892949621972,-10.8358934555761,-11.1475453950691,2.20896523263759,2.25268937504055
"GPATCH3",0.346155762065136,-11.5094909796825,-11.33493185157,2.20308843468351,2.18722464056059
"NUDC",1.00116916294086,-9.53041125533775,-9.78431729274358,2.42170853480731,2.50373664464605
"SLC9A1",0.260957160653722,-11.5808116265201,-11.6405287257191,2.16509320920143,2.13333393739148
"WDTC1",0.43453507634995,-10.9943958932166,-11.1684309137728,2.18631931761659,2.24526032565498
"TMEM222",0.479924655076199,-10.3854963489102,-10.5312290922095,2.26216828894843,2.33735017335534
"SYTL1",0.853711319707183,-9.6291031821489,-10.0383282240305,2.39690772988718,2.46813660822452
"MAP3K6",0.308005243598048,-11.5600517762883,-11.3244176682843,2.10626979297255,2.19385497902507
"WASF2",0.936501201199213,-9.63341698629815,-9.84394467457972,2.3959401067401,2.50305652182478
"AHDC1",0.221128302595279,-11.5604266920596,-12.1120008116789,2.0868295070752,2.09432734447578
"FGR",1.06562508514839,-9.45545995298381,-9.66286910826524,2.4461387540324,2.50582863695306
"IFI6",1.49756258039546,-8.88853459021015,-9.22936185520456,2.55393691752492,2.65503987734419
"FAM76A",0.256748830088955,-11.5585501876496,-11.5166526222024,2.09784164060755,2.14039132156386
"STX12",0.489759049028295,-10.388067000232,-10.4680274634115,2.26167966897691,2.34306198285541
"PPP1R8",0.469573007278726,-10.4822812082855,-10.5158847276603,2.24119978466706,2.33941786885749
"THEMIS2",0.703006132064088,-9.90488684302492,-10.0697363012248,2.35155263405949,2.4083140842218
"RPA2",0.888718136540368,-9.62445560146669,-9.97679443130363,2.39795790734054,2.48711946882616
"XKR8",0.440257569864408,-11.0520813908829,-11.1119265804573,2.1876564200257,2.26954506786291
"EYA3",0.238807825156435,-11.5808116265201,-12.0576635745586,2.16509320920143,2.14006767013108
"PTAFR",0.454120828915376,-10.8637261393398,-11.1042680628261,2.20080435536914,2.27388558892374
"DNAJC8",1.013594345817,-9.52134930303452,-9.75047508596855,2.42402811333312,2.50371804318346
"ATPIF1",1.13957418183581,-9.42861380661682,-9.59618388111258,2.51837222868094,2.57739026715766
"RP5-1092A3.4",0.190579693516022,-12.6465705910921,-11.9696525175043,2.02009534814886,2.14133592187477
"SESN2",0.223911752724746,-11.6329811063944,-11.9696525175043,2.06588328003641,2.14133592187477
"MED18",0.199815056037535,-12.4556692543632,-12.0840239812488,2.16498697493235,2.1358900411318
"PHACTR4",0.473596198838922,-10.5538702706098,-11.0450675441401,2.23229699629314,2.30189356709574
"RCC1",0.388927875719764,-11.2105064856807,-11.3244176682843,2.19678755636858,2.19385497902507
"TRNAU1AP",0.461409507434991,-10.5131143323688,-10.6629937410517,2.23642646637313,2.3152625536178
"SNHG12",0.461335160760697,-10.4495555660017,-10.6932124174864,2.24794949957008,2.31357772682954
"TAF12",0.762528956670822,-9.8534410932441,-10.053774798484,2.36284702124525,2.46075082123722
"GMEB1",0.45483348273904,-10.8628459690149,-11.1009396318854,2.20105246597245,2.27581890973718
"YTHDF2",0.70780984432095,-9.90695704206439,-10.0730215595191,2.35088995696236,2.4174052520154
"EPB41",0.477466266566694,-10.2122385068257,-10.7193344970617,2.27295125810001,2.31294221431862
