"","theta","batchA","batchB","log_umi:batchA","log_umi:batchB"
"CDA",0.228567540866571,-12.2440592637907,-12.7948201593138,3.25548171377138,3.32116391568973
"PINK1",0.104499306801642,-17.3525620343957,-15.3356107855083,3.96262875146608,3.52551292270707
"PINK1-AS",0.40457999321512,-13.5037384238672,-15.6097705185557,2.57388255263327,3.18488950251735
"DDOST",1.66698916120746,-8.03761288149153,-11.0862291970553,1.96286918852003,2.81948000424761
"HP1BP3",0.435032180774837,-6.46581451441559,-11.1418172018593,1.31732663433059,2.74647573277829
"EIF4G3",0.157675490473462,-0.565287009667205,-12.7961673544324,-1.23007404854795,2.41464707539589
"ECE1",1.10871425808836,-10.3514873954172,-13.1106782888297,2.09373460953309,2.90478628911919
"USP48",1.6189745676209,-13.0573894492532,-11.5210343542477,3.01142925212226,2.56177279013183
"LINC00339",0.713163891133929,-9.76052144114561,-10.7470563244113,1.60200882389376,1.99390199913617
"CDC42",2.82910673526997,-7.81576892036538,-9.07559686764075,2.12367049379321,2.48075224784332
"ZBTB40",0.468091661133559,-8.73399676465959,-18.7202505395585,1.42426669166401,4.22198787404918
"C1QA",0.0250810363703656,-28.5543658814606,-24.6570790001696,7.35306099825061,6.17529265273505
"C1QB",22.870678531961,-28.2887697824905,-27.4173639671896,7.18551078371564,6.79946435466509
"KDM1A",0.579001026229512,-14.2437285147753,-11.1046991045795,3.1011377555665,2.15436670723439
"LUZP1",1.13378897988399,-14.5954566266366,-5.14436953750861,3.32113387056559,0.333825862701534
"HNRNPR",3.99136819289482,-8.94584245181608,-10.9518780796103,2.25149973446251,2.80086396315529
"TCEA3",0.230771031492768,-8.45722493278665,-7.97368922272908,1.56387167592468,1.46598085765641
"E2F2",0.371196614929463,-16.3318253124362,-16.2871431875158,3.22151928164825,3.55352858797415
"ID3",0.218477751690014,-9.12491869637726,-12.4313055666199,1.96494085803078,2.93336580628189
"MDS2",0.0428600745517981,-3.89089312868935,-7.32630174400642,-0.0294091083440373,1.16362402073564
"RPL11",7.4193301676517,-3.85676222587988,-3.78819950894575,2.02316292467431,1.99800854051866
"TCEB3",0.691906595326203,-9.86982759624153,-14.295995490411,1.87900873851972,3.178286012823
"RP5-886K2.3",0.338655740191873,-19.5433083889042,-15.9329751905191,4.43142318710363,3.42088028770605
"PITHD1",0.437139059039406,-8.67585189577886,-6.82935874247452,2.05982895869958,1.48589235591651
"LYPLA2",0.691547854377025,-9.37466369148145,-8.2988117310766,2.05901363354393,1.79050805874399
"GALE",0.362571937760687,-14.0685504050914,-13.2193105253193,2.89834197592407,2.61652873884943
"HMGCL",0.105713429943721,-6.07211237789151,-11.2852460375937,1.06035695745843,2.48132737394069
"FUCA1",1.20782065380889,-11.8104246179106,-10.5254607205483,2.52147124784657,2.16681040162334
"CNR2",0.38319471274275,2.77483733260808,3.3347405214583,-2.274779292882,-2.57867531234466
"PNRC2",1.60397691854379,-14.4274873252269,-12.4753394936186,3.42418279264959,2.80791464247051
"SRSF10",0.599199721558541,-8.1944910602815,-8.70212431341902,1.51685362015591,1.73149935894039
"STPG1",0.100692428852009,-13.7148070240567,-11.0000971787474,2.54247602629618,2.02899196146132
"NIPAL3",1.8321480726004,-9.22302420880951,-8.08269747484225,1.90376011732025,1.58877431728718
"RCAN3",1.26972381802898,-8.35092408185769,-8.17031995128141,1.90109524980056,1.7526826671799
"RP4-594I10.3",0.34039968734347,-9.90673076914048,-8.07101277291256,1.56597468494173,0.839033263214388
"SRRM1",1.22665257462348,-7.62084151484492,-12.4519916311507,1.79509284353947,3.21496054021136
"CLIC4",0.265221865251725,-4.58490445262542,-17.7721020412557,0.126294409850474,3.98064964730259
"RUNX3",1.53244965714167,-9.11423251526205,-5.93964418976425,1.99939482031974,1.05729065746899
"SYF2",2.05741422852853,-7.36459912462495,-7.86105664846055,1.98768844005664,2.1372357124886
"C1orf63",0.717232391210263,-10.0007094847047,-7.09283780895229,2.55369129255558,1.63301775899704
"TMEM50A",0.829963656841528,-7.89832510120848,-7.29676385370149,2.01522964830722,1.88497945347322
"TMEM57",0.582686546866695,-17.3720362355869,-5.16469491498985,4.09177661680161,0.406585439290437
"LDLRAP1",0.368166623827452,-6.83086816887231,-0.806328153727855,1.45426345718903,-0.285666628788089
"RP11-70P17.1",0.0223671175709658,-17.7588840926243,-5.55687103182244,4.07964727773136,0.223843437266886
"MAN1C1",0.422596570979759,-12.3208993718899,-4.58941825464407,2.1685112485845,0.0268844574705033
"RP1-187B23.1",0.420085147045198,-9.78839969029777,-13.6928145544276,1.45350272063176,2.69796433296311
"SEPN1",0.752925862728007,-10.9812303784962,-12.6083850428506,1.97853092753555,2.51348649799633
"MTFR1L",1.53519331785672,-13.4491866319358,-8.57635105494169,3.11387345946644,1.65287638831328
"STMN1",0.116215928003492,-13.4547559783924,-23.0297517035024,3.2511049465249,6.18249580886258
"PAFAH2",0.551353351589446,-14.1972021038869,-6.53295253843877,2.92007908638963,0.565373994193326
"PDIK1L",0.00944201910979992,-2.73763390390911,-5.79693916894869,-0.199114865898963,0.425779692400553
"ZNF593",0.188113688554572,-17.1446179326411,-14.7797450055222,4.37166266555365,3.52571658150628
"CEP85",0.414111568483469,3.84431424593246,-22.0913552276717,-2.81837568671707,5.08718246486923
"SH3BGRL3",1.84416509331507,-7.87135174684819,-7.92660313863946,2.71281719092178,2.7410972192059
"UBXN11",1.01589674197097,-12.5404005295052,-11.6997289580098,2.94840526567586,2.76875813888197
"CD52",3.13210075398362,-6.14005434395503,-5.94531965208675,2.22655634772491,2.16910997209793
"AIM1L",0.0217462656681098,-5.20418690409721,-2.22175190162578,-0.0173171053981906,-1.08689116280873
"ZNF683",0.173471066517256,-7.14497679855458,-11.7885286110382,0.747301042326927,2.35461659508652
"DHDDS",0.562500786320752,-14.6375876400489,-10.5349720901644,3.10671237024372,1.96620415020666
"HMGN2",2.18575386116235,-11.8369710392444,-14.2447765298792,2.84423361874607,3.52363520918164
"RPS6KA1",2.4656147338387,-11.0238769014669,-8.52981226931401,2.56406559159596,1.82249833326096
"ARID1A",1.2516990284002,-12.0279005047937,-9.66262469001797,2.7600197224245,2.09153571084818
"PIGV",0.145006289149686,-9.56578854498051,-13.6418702147568,1.68105470593459,2.84005980104448
"ZDHHC18",0.458835919184631,-15.3833741160742,-12.9307087939044,3.37185254882065,2.53231655776861
"GPN2",0.678922763491989,-13.4485539121198,-12.7326354719799,2.97532133910133,2.72408109609889
"GPATCH3",0.319617894114025,-11.2804930115285,-9.60874318692052,2.13852152569636,1.69371302779895
"NUDC",1.15236574852571,-11.5321118218195,-13.4772019476773,3.00651451501309,3.6078164252771
"SLC9A1",0.691416164867261,-8.6766667521815,-20.4310105161913,1.31451634335181,4.67591383038556
"WDTC1",1.29537947192628,-8.71841955122463,-9.48019196117512,1.51584138385445,1.74865346179933
"TMEM222",0.190031283052621,-8.68377246543609,-16.4692654249379,1.75912964091001,4.15233705666702
"SYTL1",1.61192108437056,-9.5711343271318,-7.0872126313056,2.37439474490277,1.60884001674649
"MAP3K6",0.755882778913267,-9.43186225700406,-6.9986552558,1.48703756796527,0.921527687461641
"WASF2",1.7428810300999,-9.98492090544998,-9.41765421795681,2.50865736871584,2.3733202722732
"AHDC1",0.420960410776939,-11.0398426852259,-0.20400612204751,1.9421393824399,-1.4544218398478
"FGR",0.581242827226267,-14.3572768321785,-14.0377527814137,3.9213101831946,3.80805986668212
"IFI6",0.568813199565283,-10.0622191702497,-9.88407080838965,2.95176172270616,2.89654925405347
"FAM76A",0.141692515517592,-3.50081536855451,-13.3994426670649,-0.280515918340133,2.70146373014986
"STX12",1.57035651138991,-11.3403826297483,-7.09798368084682,2.53573366341175,1.350666000977
"PPP1R8",0.285518801386056,-11.5619836355991,-6.12505767933372,2.55546305544919,1.07915330619377
"THEMIS2",0.721060198355214,-15.2261953683688,-13.2243828414495,3.91060829244209,3.33970384515926
"RPA2",1.28231119363661,-7.03648192586827,-7.13722063462172,1.6462342475368,1.64933510287259
"XKR8",0.547346298282501,-12.6554681274315,-6.69175150155156,2.66425356312291,0.96858965184991
"EYA3",0.436689711239348,-0.217584673327424,-18.5656672627,-1.22042265546552,4.03676858517038
"PTAFR",0.0682825865411125,-14.84313575106,-15.8971600779808,3.44784731940168,3.6934294108441
"DNAJC8",1.15048600030913,-9.87448487486511,-14.2506718590598,2.52771283703031,3.8416750475038
"ATPIF1",1.76377335642875,-9.7529692446395,-7.6902336868717,2.61996076211898,2.01859409934328
"RP5-1092A3.4",0.223803384953397,0.815142649004861,-3.40467694290587,-2.010549258157,-0.396449868218355
"SESN2",0.411533895269218,-11.3709064389005,-13.8752044865257,1.99742740850407,2.70619244711495
"MED18",0.327696026792709,1.88481843449484,-26.805330487939,-2.12598602324592,6.35605197889963
"PHACTR4",0.0444260255805437,-14.6467804612815,-8.37996091180851,3.63344901686989,1.52462792575429
"RCC1",0.43506873320815,-9.28395012437226,-19.315965210368,1.63866439115796,4.51798193111958
"TRNAU1AP",1.70097493373335,-13.5668943173365,-5.96449365477699,3.12775956108924,0.925629252765951
"SNHG12",0.231825976162009,-8.99780491771238,-7.31867745956846,1.82253389137975,1.3527713485029
"TAF12",0.392864389638921,-11.6790289479634,-8.75234248774229,2.94108582102801,2.10548614504849
"GMEB1",0.240426961687118,-13.1601120503004,-10.505012689197,2.90368272293309,2.10076371387153
"YTHDF2",0.401419767789368,-8.574474239026,-8.55904806762673,1.95594838637169,2.02260980849262
"EPB41",1.93985087896038,-7.63795617842776,-8.66316697384305,1.51288064323791,1.70409893574257
"SRSF4",2.28914044961164,-11.6825702107145,-10.605347238907,2.91808553992926,2.5672072194269
"MECR",0.586786834160211,-10.6980161962942,-14.7903929383295,1.94056403533519,3.25684592087697
"MATN1-AS1",0.173999108562396,-5.67084765829408,-6.02207421668702,0.350436074780596,0.435031565813196
"LAPTM5",2.93244569599747,-6.97305668568723,-6.0435678685003,2.27121232767101,2.00135311261933
"PUM1",0.0866588345640949,-11.226337441262,-15.7446656108113,2.31955833788214,3.77796910274749
"SNRNP40",3.69883728819735,-10.6762338203068,-12.5665164248785,2.56439508875851,3.09637285078337
"ZCCHC17",0.898185668686916,-8.44713117427263,-9.74211890335595,1.75722452824841,2.16383463146184
"SERINC2",0.116903845074045,-23.0214453501671,-8.3345210065769,5.28888586872521,0.99198238183007
"PEF1",2.28495393480512,-9.7176364374632,-8.32263432175175,2.20783960218734,1.83146970463942
"PTP4A2",1.31902472843887,-11.8393464553719,-11.2561259681214,3.15130468031184,2.99534601735025
"KHDRBS1",1.29326198676079,-10.0134921128715,-10.433952182013,2.63459517189073,2.7237575391534
"TMEM39B",0.455220383812254,-13.7997653514618,-17.5805368203844,2.98957120719391,4.18822801526402
"KPNA6",0.612512623401304,-10.2060098152238,-11.6951782198766,2.15810386963381,2.46847836846054
"TXLNA",0.327781942243247,-9.68281731160911,-12.9932701413767,1.64143878142863,2.53288194869169
"CCDC28B",0.591741297652009,-5.91305214023668,-15.8152535884107,0.815272495159006,3.78652918931234
"TMEM234",0.0930391789738534,-2.19806474728777,-6.87275946179009,-0.538321218384791,0.934598889839343
"EIF3I",1.94711079164813,-9.9040673054871,-9.94595401980953,2.67510130563953,2.69279772353973
"LCK",1.23105691353391,-4.81687165255503,-4.74876126426975,1.24749150550332,1.23974560818932
